,n_genes,percent_mito,n_counts
Cux2_tdTnegative_cell_12,3903,0.035562254,3948687.0
Cux2_tdTnegative_cell_13,4300,0.044792615,3483063.0
Cux2_tdTnegative_cell_14,7991,0.033731468,6765713.0
Cux2_tdTnegative_cell_15,4138,0.09762338,3605417.5
Cux2_tdTnegative_cell_16,6248,0.039381083,3913326.0
Gad2_tdTpositive_cell_1,6557,0.019150244,5605590.0
Gad2_tdTpositive_cell_2,8936,0.028915975,5347576.0
Gad2_tdTpositive_cell_3,6846,0.029987724,5543242.0
Gad2_tdTpositive_cell_4,7397,0.039150905,3920834.5
Gad2_tdTpositive_cell_5,7917,0.037108485,5301763.5
Gad2_tdTpositive_cell_6,7598,0.025812447,4834281.0
Gad2_tdTpositive_cell_7,9020,0.034994986,8186398.5
Gad2_tdTpositive_cell_8,8309,0.020827409,6717404.0
Gad2_tdTpositive_cell_9,6799,0.031797126,5802331.5
Gad2_tdTpositive_cell_10,4841,0.029445294,6274234.0
Gad2_tdTpositive_cell_11,8096,0.03885897,6513296.0
Gad2_tdTpositive_cell_12,5099,0.03576129,3670649.2
Gad2_tdTpositive_cell_13,5447,0.06677577,7608454.5
Gad2_tdTpositive_cell_14,6184,0.014238732,3486544.0
Gad2_tdTpositive_cell_15,6680,0.01475381,3749191.0
Gad2_tdTpositive_cell_16,4582,0.055098552,2017055.9
Gad2_tdTpositive_cell_17,7392,0.02264092,5101137.5
Gad2_tdTpositive_cell_18,8371,0.022613982,18009628.0
Gad2_tdTpositive_cell_19,6635,0.01605467,7573679.0
Gad2_tdTpositive_cell_20,8357,0.029855786,10225692.0
Gad2_tdTpositive_cell_21,6505,0.019350586,8641033.0
Gad2_tdTpositive_cell_22,8572,0.018107846,11171717.0
Gad2_tdTpositive_cell_23,6293,0.02293434,9832223.0
Gad2_tdTpositive_cell_24,4709,0.08222095,4207328.5
Gad2_tdTpositive_cell_25,8375,0.02434347,8773918.0
Gad2_tdTpositive_cell_26,9247,0.03231757,9333057.0
Gad2_tdTpositive_cell_27,8117,0.042813174,8681338.0
Gad2_tdTpositive_cell_28,7691,0.035260063,9014213.0
Gad2_tdTpositive_cell_29,6535,0.014783896,4453168.0
Gad2_tdTpositive_cell_30,5310,0.11285666,4503212.5
Gad2_tdTpositive_cell_31,8268,0.031901214,4991497.0
Gad2_tdTpositive_cell_32,6834,0.01877026,5042250.0
Gad2_tdTpositive_cell_33,6017,0.023283431,2433710.0
Gad2_tdTpositive_cell_34,5960,0.016242912,5844777.0
Gad2_tdTpositive_cell_35,7191,0.018576898,3978947.5
Gad2_tdTpositive_cell_36,7042,0.019184463,5327203.0
Gad2_tdTpositive_cell_37,7069,0.022881778,3259741.0
Gad2_tdTpositive_cell_38,6438,0.022706786,4548788.5
Gad2_tdTpositive_cell_39,4129,0.046471942,2459600.8
Gad2_tdTpositive_cell_40,7368,0.02899582,2924257.0
Gad2_tdTpositive_cell_41,4039,0.06166324,2009026.1
Gad2_tdTpositive_cell_42,6891,0.022089707,3284195.5
Gad2_tdTpositive_cell_43,7639,0.05263728,3059997.5
Gad2_tdTpositive_cell_44,5525,0.03956474,13847050.0
Gad2_tdTpositive_cell_45,6330,0.030891746,4658678.0
Gad2_tdTpositive_cell_46,6017,0.017516878,4295210.5
Gad2_tdTpositive_cell_47,8088,0.057865575,6535829.5
Gad2_tdTpositive_cell_48,7540,0.0350659,4465714.0
Gad2_tdTpositive_cell_49,7566,0.029938072,3287552.5
Gad2_tdTpositive_cell_50,7668,0.027168669,3044649.0
Gad2_tdTpositive_cell_51,7322,0.02669724,2767660.5
Gad2_tdTpositive_cell_52,6519,0.026134828,3821094.5
Gad2_tdTpositive_cell_53,6368,0.03256271,3170600.5
Gad2_tdTpositive_cell_54,6127,0.02620504,2664459.8
Gad2_tdTpositive_cell_55,8157,0.047815528,3629348.0
Gad2_tdTpositive_cell_56,7193,0.026142031,6343617.5
Gad2_tdTpositive_cell_57,7436,0.061526425,4798880.5
Gad2_tdTpositive_cell_58,7068,0.042194087,3045237.2
Gad2_tdTpositive_cell_59,7447,0.025920736,3720316.0
Gad2_tdTpositive_cell_60,8115,0.047415495,9221695.0
Gad2_tdTpositive_cell_61,8228,0.05666428,6973762.0
Gad2_tdTpositive_cell_62,7621,0.049946517,5019863.5
Gad2_tdTpositive_cell_63,7293,0.023288416,8414860.0
Gad2_tdTpositive_cell_64,8233,0.025611958,3904554.0
Gad2_tdTpositive_cell_65,8497,0.04446299,11821169.0
Gad2_tdTpositive_cell_66,8011,0.030048471,5069610.5
Gad2_tdTpositive_cell_67,7767,0.032995757,4022877.5
Gad2_tdTpositive_cell_68,7812,0.024109792,5184243.0
Gad2_tdTpositive_cell_69,7365,0.04136433,3500022.0
Gad2_tdTpositive_cell_70,7186,0.019842971,4364869.0
Gad2_tdTpositive_cell_71,7420,0.032277253,4583776.0
Gad2_tdTpositive_cell_72,7189,0.022895651,5625567.0
Gad2_tdTpositive_cell_73,7822,0.024158971,6524494.0
Gad2_tdTpositive_cell_74,6338,0.028978253,4228001.5
Gad2_tdTpositive_cell_75,8703,0.052520216,6658945.0
Gad2_tdTpositive_cell_76,6846,0.03408554,4457959.0
Gad2_tdTpositive_cell_77,5744,0.031029971,5358324.0
Gad2_tdTpositive_cell_78,6004,0.06384939,2469161.0
Gad2_tdTpositive_cell_79,6051,0.02577332,2862504.0
Gad2_tdTpositive_cell_80,6351,0.030172799,2069525.4
Htr3a_tdTpositive_cell_1,7867,0.029565608,9475735.0
Htr3a_tdTpositive_cell_2,7351,0.042422913,4903274.0
Htr3a_tdTpositive_cell_3,7581,0.05644538,4745114.0
Htr3a_tdTpositive_cell_4,6634,0.029574854,4731960.0
Htr3a_tdTpositive_cell_5,7079,0.02768819,5455715.0
Htr3a_tdTpositive_cell_6,6257,0.036917567,5959167.0
Htr3a_tdTpositive_cell_7,6905,0.037302036,5517799.0
Htr3a_tdTpositive_cell_8,6904,0.030868012,5947785.0
Htr3a_tdTpositive_cell_9,6926,0.026345046,5432094.0
Htr3a_tdTpositive_cell_10,7241,0.026483752,5275947.0
Htr3a_tdTpositive_cell_11,7234,0.02757062,4996791.5
Htr3a_tdTpositive_cell_12,7051,0.04887444,4894924.5
Htr3a_tdTpositive_cell_13,5695,0.034452364,5948592.5
Htr3a_tdTpositive_cell_14,6376,0.037307158,4639979.0
Htr3a_tdTpositive_cell_15,7927,0.02732266,11013566.0
Htr3a_tdTpositive_cell_16,5299,0.030257137,7167932.0
Htr3a_tdTpositive_cell_17,6445,0.06272725,8613607.0
Htr3a_tdTpositive_cell_18,7000,0.023857411,4560553.0
Htr3a_tdTpositive_cell_19,6843,0.024609197,5190095.5
Htr3a_tdTpositive_cell_20,5806,0.033493742,4936087.0
Htr3a_tdTpositive_cell_21,6166,0.027181583,5225692.0
Htr3a_tdTpositive_cell_22,6845,0.028863432,5591935.0
Htr3a_tdTpositive_cell_23,6584,0.019271117,6345379.5
Htr3a_tdTpositive_cell_24,7220,0.02695615,7156580.0
Htr3a_tdTpositive_cell_25,6559,0.030312018,6935516.0
Htr3a_tdTpositive_cell_26,7026,0.024583949,4443632.0
Htr3a_tdTpositive_cell_27,6430,0.10395163,4750041.5
Htr3a_tdTpositive_cell_28,6824,0.020156322,4920973.0
Htr3a_tdTpositive_cell_29,6792,0.06101682,4298912.0
Htr3a_tdTpositive_cell_30,7003,0.024754051,4691617.0
Htr3a_tdTpositive_cell_31,7218,0.022621514,4350720.0
Htr3a_tdTpositive_cell_32,8054,0.027311834,3734474.5
Htr3a_tdTpositive_cell_33,7222,0.047074795,4889572.0
Htr3a_tdTpositive_cell_34,6092,0.037312273,4557641.5
Htr3a_tdTpositive_cell_35,6066,0.03944501,4219907.0
Htr3a_tdTpositive_cell_36,7234,0.02234159,6381183.0
Htr3a_tdTpositive_cell_37,7204,0.046422858,4502039.0
Htr3a_tdTpositive_cell_38,6647,0.03118238,4326566.0
Htr3a_tdTpositive_cell_39,5657,0.021844849,4798242.5
Htr3a_tdTpositive_cell_40,6887,0.038868617,4602204.5
Htr3a_tdTpositive_cell_41,6398,0.021128973,7752386.0
Htr3a_tdTpositive_cell_42,7359,0.030499753,6405630.0
Htr3a_tdTpositive_cell_43,6608,0.027466858,5335731.5
